Binance Pair,Currency,Market
ETHBTC,ETH,BTC
LTCBTC,LTC,BTC
BNBBTC,BNB,BTC
NEOBTC,NEO,BTC
GASBTC,GAS,BTC
BTCUSDT,BTC,USDT
ETHUSDT,ETH,USDT
WTCBTC,WTC,BTC
LRCBTC,LRC,BTC
QTUMBTC,QTUM,BTC
YOYOBTC,YOYO,BTC
OMGBTC,OMG,BTC
ZRXBTC,ZRX,BTC
KNCBTC,KNC,BTC
FUNBTC,FUN,BTC
SNMBTC,SNM,BTC
IOTABTC,IOTA,BTC
LINKBTC,LINK,BTC
XVGBTC,XVG,BTC
MDABTC,MDA,BTC
MTLBTC,MTL,BTC
EOSBTC,EOS,BTC
SNTBTC,SNT,BTC
ETCBTC,ETC,BTC
MTHBTC,MTH,BTC
DNTBTC,DNT,BTC
ZECBTC,ZEC,BTC
BNTBTC,BNT,BTC
ASTBTC,AST,BTC
DASHBTC,DASH,BTC
OAXBTC,OAX,BTC
BTGBTC,BTG,BTC
EVXBTC,EVX,BTC
REQBTC,REQ,BTC
VIBBTC,VIB,BTC
TRXBTC,TRX,BTC
POWRBTC,POWR,BTC
ARKBTC,ARK,BTC
XRPBTC,XRP,BTC
ENJBTC,ENJ,BTC
STORJBTC,STORJ,BTC
BNBUSDT,BNB,USDT
KMDBTC,KMD,BTC
NULSBTC,NULS,BTC
RDNBTC,RDN,BTC
XMRBTC,XMR,BTC
AMBBTC,AMB,BTC
BATBTC,BAT,BTC
GXSBTC,GXS,BTC
NEOUSDT,NEO,USDT
QSPBTC,QSP,BTC
BTSBTC,BTS,BTC
LSKBTC,LSK,BTC
MANABTC,MANA,BTC
BCDBTC,BCD,BTC
ADXBTC,ADX,BTC
ADABTC,ADA,BTC
XLMBTC,XLM,BTC
CNDBTC,CND,BTC
WABIBTC,WABI,BTC
LTCUSDT,LTC,USDT
WAVESBTC,WAVES,BTC
GTOBTC,GTO,BTC
ICXBTC,ICX,BTC
ELFBTC,ELF,BTC
AIONBTC,AION,BTC
NEBLBTC,NEBL,BTC
BRDBTC,BRD,BTC
NAVBTC,NAV,BTC
APPCBTC,APPC,BTC
RLCBTC,RLC,BTC
